access,aerial_photograph,architecture,botany_chk,bridge_chk,building_chk,church_chk,dam_chk,chipped_stone,condition,description_environment,description_position,easting,elevation,entered_by,entered_date,extraction_chk,geomorphology_chk,ground_stone_chk,hellenistic_or_roman_chk,iron_age_chk,intensive_survey_zone,kiln_chk,lithics_chk,locality,mine_adit_chk,medieval_or_ottoman_chk,modern_chk,northing,other_structure_chk,plot_village,posi_no,pottery,pottery_chk,prehistoric_chk,recorded_by,recorded_date,posi_references,road_chk,rock_chk,settlement_chk,shrine_chk,sheet_map_1_5000,village_plan,sia_number,sketch_chk,slag,slag_chk,source,summary,team_leader,threshing_floor_chk,tile,tomb_chk,topography,vegetation,view_chk,village,visibility_percent
Tarmac street in Phlasou,,Abundant,No,No,No,No,No,None,Decaying. Some repairs have been carried out.,"The large field has a lot of different vegetables, e.g. watermelons, pepper, squash, tomatoes and pumpkins. The 1963 aerial photograph shows the field was split into two and is now one large unit. All the trees previously lining the road north of the cistern are no longer there. Internally we have wild grasses and it is overgrown, also lots of modern rubbish.","Water cistern with plaster inside. In the wall there are river boulders, angular pebbles bound together with mortar. Some of the pebbles are basalt. The internal plaster line, which is now mostly gone, has been repaired in some places with concrete. Internally we have some tumbled down wall, that is, boulders. The outer wall is made of dressed limestone blocks [?], dimensions 25/30 x 35/40cm, height c. 25cm. External height of wall is 1.4m. Depth of cistern from inside wall is 1.05m and from the external wall 1.25m. Internal measurement: 6.20m square. Total thickness of wall: 75cm.",489813.00,307.00,ESP,13/7/2003 00:00:00,No,No,None,No,No,Karkotis,No,No,Village,No,No,Yes,3879966.00,Yes,378,TP133,Some,No,No,CWA,6/7/2003 00:00:00,,No,No,No,No,28-XIX,Kato Phlasou No. 11,TS04,Yes,None,No,GPS,Disused water cistern,AGR,No,None,No,On the edge of a large flat tread next to the road.,On the line of olive trees following the road,No,Phlasou,10.00
Across open fields to N.,,Some,No,No,No,No,Yes,None,Abandoned and delapidated.,"Overlooking dry river bed, with limestone outcrops. Hawthorn, thyme, centurion thistles and grasses.",Terraces roughly 8m apart. Terrace walls collapsed and covered in lichen. Situated below open field which is still used for cultivation.,496980.00,242.00,JOS,30/7/2003 00:00:00,No,No,None,No,No,,No,No,Konizos,No,No,No,3883110.00,No,,TP134,Some,No,No,TNF,7/7/2003 00:00:00,,No,No,No,No,,,,No,None,No,GPS,3 lines of ruinous terrace walls.,SED,No,None,No,"Above a steep river valley, meander bend.",Scrub,No,Kato Koutraphas,60.00
"Main road just south of Pano Phlasou, east on a dirt tract just past animal pens on the hill at game reserve sign",,None,No,No,No,No,No,Some,fairly stable but eroding.,Human activity above (animal pens). Very old olive trees to the north east. On side of the dirt track (to the north) off of road (to the east). Has been exposed by bulldozing. The drainage ditch has been cut out on the northern side of the trench to the east of the section.,"A section which has been exposed by bulldozing in the side of a slope. The bulldozer probably pushed the dirt from the section to the east to create the road. Lots of red polished ware pottery (all thicknesses), some in situ but most of it can be seen as eroding out of the slope. The various pottery thicknesses indicate a settlement. At the east end of the section there is a more stable section with a concentration of stones covered in carbonate (Jay's method the amount and type of carbonate can indicate the age of the artifact). Half a mortar was found at the other side of the road mid way along the section, this has carbonate on it. Also a very possible quern stone was found 20m east of the section on the other side of the road ( to be looked at later by carol). The section is roughly 35m long and 3m high at its highest point. The section is facing south. Section was drawn, photographed, and collectedABK (20 Oct 2004). Georghos Georghiou had gone back himself on 9/9/04 to have a look and make another collection. he actually did make a collection for the CS. there's plenty of Chalco or Late Chalco pottery (i can't really tell) AND what appear to be some Philia sherds as well. more importantly, there were two pieces of picrolite (one is a blank, one MAY be part of a pendant), about ten NICE groundstone pieces (hammerstones, mortars) and a couple of what looked to me to be axes, one of which was made of some stone like flint..... anyway, Carole MUST see this material, and so must Mara, BUT we will have to apply to the director to see it, and until it has a CS number we can't even do that: giorgios was just being kind to me today. So, for the record, there are three trays (two pottery, one groundstone) from Phlasou KOUTROULIS collected on 9/9/04 which soon will have a CS number, and which both Mara and Carole should certainly see asap.4 Nov 04. CS 2957. Application to see material.",489915.00,344.00,AKR,8/7/2003 00:00:00,No,No,Some,No,No,Karkotis,No,Yes,Koutroullis,No,No,No,3879545.00,No,,TP135,Abundant,Yes,Yes,AJG,8/7/2003 00:00:00,,No,No,Yes,No,,,TS06,Yes,None,No,Image Print,A section cut into a slope with Bronze Age pottery (red polished) eroding out of the section (CS 2957),ATB,No,None,No,On the side of a gentle slope that leads down into an anthroprogenic terrace,Wild vegetation (grasses),No,Phlasou,80.00
Via the dirt track to the south side of Alestos,,Abundant,No,No,No,No,Yes,None,Poor - several sections of wall have collapsed and the channel is silting up and overgrown. Pruned olive branches have been piled on some sections.,"Below an almond grove giving onto vegetable terraces with olive and almond trees bordering the terrace edges. Terraces facing north east. Almond grove above is on a natural slope [not terraced at all]. Wild grasses on the risers, prunings from olive trees either placed beside, or inside the irrigation channel. Channel is no longer in use.","Stone terrace riser with stone irrigation channel in front. Base of water race is indeterminate but probably indeterminate. Channel extends along the southeast/northwest side of SU2609 and is fed from upper terrace at northwest end, in turn feeding the lower terrace at southeast end.",501985.00,516.00,ESP,13/7/2003 00:00:00,No,No,None,No,No,Xyliatos,No,No,Dhyopevkous,No,No,Yes,3875925.00,Yes,,TP136,None,No,No,ESP,9/7/2003 00:00:00,,No,No,No,No,29-XXVI,,,Yes,None,No,Image Print,Disused stone irrigation channel in conjunction with a terrace wall,AGR,No,None,No,Gentle slope with non-mechanised terraces below,"Almonds, olives and wild grasses",No,Xyliatos,20.00
400 m south of Nikitari-Asinou road,,Some,No,No,No,No,No,Unclear,Stable: Rhizocarpon tinei,Located on forested hill slope over looking river valley,Clusters of rock with Rhizocarpon tinei.  Unnatural/anthropogenic. 6 x 6 m.  Rubble possibly from structure,497886.00,488.00,CLT,14/7/2003 00:00:00,Yes,No,Unclear,No,No,Asinou,No,No,Stavros,No,No,No,3878293.00,No,,TP137,Unclear,No,No,CLT,8/7/2003 00:00:00,,No,Yes,No,No,,,,Yes,Unclear,No,GPS,Rock cluster,ESG,No,Unclear,No,Mountainous/hillslope,"Pine, lichen, moss.",No,Nikitari,40.00
There is a road near by that starts from the mine,AP48007,None,No,No,No,No,No,None,Stable although being covered by surrounding vegetation,There are a lot of plants grown and it4s just near the mine area.  Adjacent to a bulldozed bank.  In an olive grove which has not been mantained regularly although there is evidence of human activity e.g. trash dumped.,"Deep rectangular tomb covered by lots of branches.  There is an olive tree just beside with overhanging branches.  5m south east from the tomb there is a rock may have been used to seal entrance.Cut into soil.  If cut into bedrock it is not to detect as it has been filled with branches2m long, 1.35 m wide and had maximum visible depth of 1.30m",489895.00,245.00,CLT,17/7/2002 00:00:00,No,No,None,No,No,Karkotis,No,No,Mutallou,No,No,No,3882870.00,No,,TP093,None,No,No,MEA,15/7/2002 00:00:00,,No,No,No,No,28-XII,,,Yes,None,No,Aerial,A rectangular tomb,ATB,No,None,Yes,In an anthropogenic terrace at base of slope near mines,Olive trees and mixed batha with garigue,No,Katydhata,30.00
Near a road that goes round the mine area,AP48007,Abundant,No,No,No,No,No,None,Fairly stable but is definitely getting filled in,"In a field, south of the olive grove that has been planted/ploughed and where wheat is growing.   It is higher up the slope next to the mine and fairly recent mine road.  Also a near bulldozed bank","Cut into bedrock and has four chambers.  In the center there is vegetation growing, hindering visibility.  Bottom is also covered by rubble from surrounding area, so that originally it must have been much deeper.In immediate surroundings around tomb there is not vegetation so opening is clearly visible.POSI apparently been previously robbed.  View of pottery sherds appear to be red polished3.30 m long and 1.35m wide.  Maximum visibility of 1.15m",490033.00,247.00,CLT,17/7/2002 00:00:00,No,No,None,Yes,No,Karkotis,No,No,Mutallou,No,No,No,3882739.00,No,,TP094,Some,No,Yes,MEA,15/7/2002 00:00:00,,No,No,No,No,28-XII,,,Yes,None,No,GPS,Tomb with four chambers,ATB,No,None,Yes,"Cut into a highly weathered bedrock, anthropogenic terraces created between 1970-1974",Batha and garigue,No,Katydhata,50.00
On main Vyzakia road,,None,No,No,No,No,No,Abundant,,Olive grove is on hillslope sloping east into gully. Field to west of road is flat (other than the gentle slope to the N),"Ploughed field with unusual concentration of groundstone (PU01): querns, rubbers, grinders, mortar. Chipped stone (jasper) scattered fairly evenly across field; probably late antiquity, ad hoc flake industry. A few bits of slag. Olive grove (PU03) has very little cultural material; few bits of chipped stone and slag.Revisited by MJG and LHS on 15/11/2003 to take GIS readings and complete form.",501335.00,273.00,MJG,16/9/2002 00:00:00,No,No,Abundant,No,No,Koutraphas,No,Yes,Kambos tou Lemonari,No,No,No,3884215.00,No,,TP095,Some,No,Yes,CJM,,,No,No,No,No,,,,Yes,None,No,GPS,Ground stone concentration with chipped stone scatter,CJM,No,None,No,"Pediment of old red soil, sloping gently to N","Plough, stubble, olives, water melon",No,Potami,
Close to Ayia Marina to Vyzakia road.,,None,No,No,No,No,No,Abundant,,"Cadastral Plot numbers 381, 411, 412, 416, 404SU1608, SU1607, GU1607Hillslope with jasper outcrop at the top and tilled fields below, running to a small gully that runs approximately east west at the base of the hill.","Jasper quarry - Use of jasper erodes down field from outcrop.  Huge ammount of jasper, generaly good quality, moved by plowing and water.  Heaviest concentration in lower (larger) field adjacent to the field wall, incorporating a few jasper blocks.  The stone collected probably from two to five percent of whole, impossible to say how much of that remaining is cultural as opposed to outcrop material. Plot 404, outcrop appears in SU1608 with both raw material lumps and fragmets outcropping (secondarily) in smaller field SU1607 (plot 416) a larger amount of material, both cultural and raw material in lower larger field to the west (plots 411, 412, &381)",503950.00,,MRC,22/7/2002 00:00:00,Yes,No,None,No,No,Xyliatos,No,Yes,Vrysi,No,No,No,3878770.00,No,,TP096,Some,No,No,CJM,18/7/2002 00:00:00,,No,No,No,No,29-XXVII,,,Yes,None,No,Aerial,Jasper quarry site.,CJM,No,None,No,North facing hillside.,"Fallow fields, wild thyme, thorny burnet, pinus brutia",No,Ayia Marina,
300m Northwest of the main Asinou road.,,Abundant,No,No,No,No,No,Unclear,Fair,"A finger like protrusion, where a side channel joins the main river channel.  Agricultural fields are found near by to the South/East. Alternative locality: kipos",A winding Path/Track between 1/3 and 2/3 of a meter in width.  In places the Path/Track has been dug into the basal group.  Rock surfaces are highly lichenated (Grey and Reddish Brown.)  The path continues along a roughly North/South route and seems to connect the Church with a possible structure to the North/West of the Church and then continues on in a North/Easterly direction away from the church.,497532.00,451.00,MRC,18/7/2002 00:00:00,No,No,Unclear,No,No,Asinou,No,No,Gnaphion,No,No,No,3878349.00,No,,TP097,Unclear,No,No,MRC,18/7/2002 00:00:00,,Yes,No,No,No,,,,Yes,Unclear,No,GPS,"Path/track, located North of Phorviotissa.",ESG,No,Unclear,No,"Ridge within an incised river channel, contained within a larger river valley.","Sistus, Pine, Wild Garlic, Thistle, Wild Grasses.",No,Nikitari,50.00
"200m west of Asinou road, 200m north of Asinou church.",,Some,No,No,No,No,No,Unclear,Ruinous/uncertain due to plant growth. Mapping required to find full extent of stone scatter.,"Bounded by fallow field alluvial terrace to the east, steep banks leading to stream to the west. Fallen pine to south and hawthorns to the north obstruct further investigation.","Cleared pile of stones with tumbled stones or possible walls/terrace walls radiating to the NNE and ENE, partly masked by hawthorns/grasses. Gradual erosion of stream banks causing fall of pine tree to south of POSI. Name of locality means 'tanning' in Greek.All recorded as BU0054",497437.00,452.00,JOS,18/7/2002 00:00:00,No,No,Unclear,No,No,,No,No,Gnaphion,No,No,No,3878311.00,Yes,,TP098,Unclear,No,No,JOS,18/7/2002 00:00:00,,No,Yes,No,No,,,,Yes,Unclear,No,GPS,Possible structure indicated by a pile of stones.,ESG,No,Unclear,No,Western edge of alluvial terrace.,"Fallow field to East, hawthorns and collapsed pine",No,Nikitari,30.00
Just off road between Alestos and Xyliatos,,None,No,No,No,No,No,None,Very poor state of repair.  Only 10m extant.  Collapsing risers.,"To the north east of path there are dry-stacked terraces.  To the south east of the path the terraces are increasingly bulldozed.  A track has been bulldozed through the path at the northern end, this is probably the cause of destruction.  Concrete irrigation channel below the path.  The path cannot be traced beyond the bulldozed track.","Possible path running between two dry-stacked risers.  Path is c. 120cm wide.  Riser to the west is 68cm high, the lower riser (east) is 76cm high.  Path surface is partially eroded and covered with colluvim and wild oats.  Bigger stones are used in the bottom of the risers and smaller stones are used at the top.  The path is directly below the track into agricultural area off the main road between Alestos and Xyliatos.  Path may disappear beneath track construction debris.",503180.00,392.00,AJG,22/7/2002 00:00:00,No,No,None,No,No,Xyliatos,No,No,Louvas,No,No,No,3877175.00,No,,TP099,None,No,No,AJG,22/7/2002 00:00:00,,Yes,No,No,No,29-XXVII,,TS10,Yes,None,No,Aerial,Possible path,AGR,No,None,No,On border between dry-stacked terraces and bulldozed terraces,"Almond trees, spiney burnet, capers, wild oats, olive trees",No,Xyliatos,5.00
"Off Asinou to Spilia, signposted forest walk",63-35-039,None,No,No,No,No,No,None,Fair throughout (also abandoned section) except for road cut section where it has been obliterated.  Well maintained and used.  Path disappeared as we moved further South to Ayios Theodhoros - due to forestry road.,"Path runs East-West from river valley, through pine forest.  Path follows mostly contours of mountain side though it goes through certain features (eg saddlepoint).  It crosses from Asinou to another valley (?)","Abandoned section (drawn on sketch):  Width: 120cm                                                     Depth:  40cmAbandoned section of path due to forestry road cut.Covered by pine needles.Whole section:  Variable width and depth, due to forestry use.  Increased width for possible vehicles.Overall well maintained and used, except abandoned section (thus best preserved?)",495108.00,640.00,RJM,22/7/2002 00:00:00,No,No,None,No,No,Asinou,No,No,Khalkokolymbos,No,Yes,Yes,3877702.00,No,,TP100,Some,No,No,MLL,22/7/2002 00:00:00,,Yes,No,No,No,,,,Yes,None,No,GPS,Path from Asinou to Theodhoros (abandoned segment),ESG,No,None,No,Mountain flank,"Pine, cistus, wild grasses, lichen",No,Ayios Theodhoros,80.00
Near road leading to UN between Katydhata and Skouriotissa (east of road).,38038,Some,No,No,No,No,Yes,None,Poorly maintained.,"Cultivated land and olive grove south of Skouriotissa village.3 uprooted olive stumps, of which 2 are very large. 8 August 2002.West of Cadastral Plot 512","In the field north of the POSI (SU1049), several chipped stones were found.Located on N side of ridge, using natural and manmade risers made from built up slag cakes.Good evidence for 4 threshing floors, some still in situ.Evidence of cut grass- still in use? Maybe more as donkey pasture- manure used for fuel?",490045.00,254.00,JOS,27/7/2002 00:00:00,Yes,No,None,No,No,Karkotis,No,No,Pamboulia,No,Yes,Yes,3882475.00,No,,TP102,Some,No,No,JJP,22/7/2002 00:00:00,,No,No,No,No,28-XXVIII,,,Yes,Abundant,No,Aerial,"Series of terraces with threshing floors, possible winnowing areas.",ATB,Yes,None,No,Northside of ridge,"Low shrubs and grass, Batha, olive trees in grove, 1 pine tree.",No,Katydhata,40.00
Above a track from Memi to Xyliatos,,None,No,No,No,No,No,Some,Very good,"Adit is 320 cm above cut of a bulldozed terrace. Cut into basalt. Terrace is covered with rubble (large and smaller rocks). Visibility on terrace is 80%. Bulldozing has cut 130 cm below probable older ground surface, leaving some of the original rockface exposed  below the adit.",A probable adit c. 90cm wide at the east facing entrance and 105cm high. The adit curves to the south after a distance of 280cm. From the curve to the second exit/entrance the distance is 210 cm. There is ground stone inside adit alonside other hand sized river rocks. The curve within the adit is very regular. The southfacing exit/entrance is 48cm high and 69cm wide. The terrace below the adit fallow.,503475.00,436.00,AJG,23/7/2002 00:00:00,Yes,No,Some,Yes,No,Xyliatos,No,No,Elaea tou Kaloyirou,Yes,No,No,3876775.00,No,,TP103,Some,No,No,AJG,23/7/2002 00:00:00,,No,No,No,No,,,,Yes,None,No,Aerial,Probable adit,AGR,No,None,No,On riser directly above a bulldozed terrace,"Wild oats, rock rose, spiney burnet, almond trees, hawthorn",No,Xyliatos,90.00
,,None,No,No,No,No,No,Some,,,"Trine and I posied SU0622 (TP104) to get more information on the range of forms appearing at the settlement of Mavrovouni. A square of 27 x 27 m was laid out using the north east corner of the grid of the geophysical survey as starting point. The field was surveyed in grid circles (36) and a representative sample was collected. The centres of the corner circles were placed one meter from the corners of the grid. The areas between the circles were divided into 25 units (PU01-25) and a grab was made by the principles of selecting forms that had not appeared in the circles. Two extraordinary finds were collected outside the 27x27 grid, but the coordinates were simply extended to include this area (PU31 and ) in the grab. The collection produced an impressive range of heavy and light utility forms to be analysed later in an article by Angus, Alexis and myself, but there is little doubt that the area was used for living and working. The selection of tile types is limited compared toSkouriotissa, which is not inconsistent with a settlement as tiles would have been used for more important buildings primarily. The results of the entire area based on last seasons work led to a preliminary estimation of the chronology of the site as dating from the 1st c. BC to the early 7th c. AD with a hiatus in the 2nd to 3rd c. AD, a chronological horizon typical for all of Cyprus. This year.s work at TP104 has produced almost exclusively Late Roman finds and possibly the finds form the earlier periods belong to the general back ground noise found all over the area this season and the last. Concerning the chalcolithic finds see Mara. (KWJ, Aug 2002)See POSI file for various reports, grid plans, etc.",503241.00,385.00,MJG,12/12/2003 00:00:00,No,No,None,Yes,No,Xyliatos,No,No,Mavrovouni,No,No,No,3877777.00,No,,TP104,Abundant,Yes,No,MJG,12/12/2003 00:00:00,,No,No,No,No,,,TS02,Yes,Abundant,No,GPS,36 gridded circles in SU0622,KWJ,No,Abundant,No,Fields in spur between Lagoudhera river and tributary,Plough,No,Ayia Marina,
Forest trail from Ayios Theodhoros to Asinou,63-35-039,Abundant,No,No,No,No,No,None,Fairly good - though some walls have been eroded,"2 rock structures on either side of dip in gully.  Gully filled with pine trees on both banks (small, steep). North larger structure on flattened plain. 15m straight across gully to South - 2nd rock structure - smaller - on gentle sloping hillslope.Easting/Northing/Elevation = Larger feature",Larger rock structure to North:- width from outer rock edge: 350cm- length from outer: 240cm- inside: circular 180cm diameter- thickness of South wall: 60cm- rectangular outer with circular innerSmaller rock structure to South:- width and length: 2m diameter- back wall: 60cm thickUnsure of what they both were used for - well?  Kiln?  Animal pen?About 12m off road,496199.00,532.00,RJM,24/7/2002 00:00:00,Yes,No,None,No,No,Asinou,Yes,No,Paloeomandroes,No,Yes,No,3877490.00,No,,TP105,Some,No,No,RJM,24/7/2002 00:00:00,,No,No,No,No,,,,Yes,None,No,GPS,2 rock structures N-S of gully - circular inside each. Pitch kilns?,ESG,No,None,No,On backslope on side of draw / drainage,"Pine, cistus, wild grass",No,Nikitari,90.00
Off agricultural track between Alestos and Xyliatos,,None,No,No,No,No,No,None,Scoop area in good condition but remainder is collapsed.,Positioned on an almost vertical outcrop of basalt.  Bulldozed terraces to immediate west. Tread directly below adit is fallow. Looks like it has never been used for agricultural purposes. Lots of wild thyme above the adit. Plenty of copper ore in the vicinity of the adit.,Mouth of entrance to adit:Across -- 85cmHeight -- 80cmDepth is 100cm on the left side (interior) which looks to be the scoop. Across at back is 32cm before it curves.To the right (interior) there are signs of quite recent collapse.Floor of interior covered in collapsed rock. On the left side of the adit there is a scoop which is likely to be the original construction.  To the right there is general collapse.,503560.00,433.00,RSB,24/7/2002 00:00:00,Yes,No,None,Yes,No,Xyliatos,No,No,Elaea tou Kaloyirou,Yes,No,No,3876940.00,No,,TP106,None,No,No,ASM,24/7/2002 00:00:00,,No,No,No,No,,,,Yes,None,No,Aerial,Possible adit,AGR,No,None,No,On a steep slope,"Olive, hawthorn, spiny burnet, rock rose, wild grains, wild thyme, centurion thistle, capers",No,Xyliatos,0.00
Road from Skouriotissa mine and Sam Martin UN Camp,,Abundant,No,No,Yes,No,No,None,Mostly intact,"Village surrounded by agricultural land on alluvial terraces, with olives, figs, crops. Mine is located to the east of the village.","Abandoned village with 39 standing houses and one larger ""public"" building in the south of the posi. Houses arranged in 3 groups, sharing separate pit toilets in groups 2 and 3 ( see marked up image print). Three roads meet at the village, each has been constructed of a slag road base, with cobbling and later bitumen. Road features are described in report. A local man informed us, at the site, that this area had been known as the ""60 spitia"" 60 houses.",488980.00,,TJI,29/7/2002 00:00:00,No,No,None,No,No,Karkotis,No,No,Psevtadhes,No,No,Yes,3883361.00,No,,TP107,Some,No,No,MLL,24/7/2002 00:00:00,,No,No,Yes,No,28-XII,,,No,Abundant,No,GPS,Abandoned miners' village at Skouriotissa,TJI,No,Abundant,No,"West side of small gully. Part of the valley bottom (Karkotis River) with foothills rising to the north, south west, alluvial terraces and the mine to the east.","Pine,cypress, eucalyptus, tree of heaven, palms, figs, olives.",No,Skouriotissa,
Potami is up a dirt road to the North East about one mile away.,,Abundant,No,No,No,No,No,Some,The Cairn is mostly tumbled.  The Quern/Mortars are in excellent condition.  The tombs are blocked and in unknown condition.  The path is in good condition but rather overgrown.,A hill/spur jutting from western ridge of a bowl shaped valley.  A dry river has cut a channel into the rock between the Eastern ridge and the hill.  The spur is uncultivated and covered with wild oats but no barley even though barley is in cultivation all round about.  There is a great deal of terracing along the southern end of the bowl where the two ridges join and the the Western rises up into a large hill.,"The cairn is almost perfectly circular, roughly 4.70 meters in diameter and a little over half a meter high.  The stones are of local origin and heavily litchenated.  There is a single pot drop within the area of the cairn to the South West and a few scattered sherds outwith its area.  The cairn was found by SED.   Two stones, either two mortars placed atop each other or the two halves of a type of a rotery quern were found by MJG to the East by North East of the cairn.  The upper stone has a fist sized cup shaped depression in its centerm while the bottom one has a shallower cup shaped depression within a larger shallow depression covering most of it's surface.  The stones were found with their working surfaces facing inward.   Where the spur drops towards the river cut to the East there are the aparent remains of 3 to 4 chamber tombs.  All are filled in with the exception of one which appears to have a narrow cavity beneath the lintel.   A path apparently skirts the hill and is upheld with a course of stones where necessary.  It is cut off on both ends where it enters areas of buldozing and modern cultivation but passes right by the tombs.Revisit, 1 Aug 2002: Carole and Michael. Lots more ground stone in the area. Should do SUs in block round main plateau, and collect the ground stone.",502975.00,265.00,MRC,28/7/2002 00:00:00,No,No,Some,No,No,,No,Yes,Kollajes,No,No,No,3883039.00,No,,TP108,Some,No,Yes,MRC,28/7/2002 00:00:00,,No,No,No,No,,,,Yes,Unclear,No,GPS,"Cairn, querns, tombs and groundstones.",MJG,No,Some,Yes,"A hill situated in a bowl shaped valley, Potami is situated to the North East.","Wild oats, thyme, vipers bane, centurian thistle, hawthorn, spiny burnet, plant with star shaped flowers and capers.",No,Potami,50.00
Just of road running beside Green Line.,48007,None,No,No,Yes,No,No,None,"Collapsing fairly rapidly, filling in.","Cut into basalt outcrop, cave has steeply sloping roof. Filled in. Appears quite deep. Cave is cut into outcrop at the foot of a ridge as it flattens out and changes into agricultural areas, before it meets the river. On a small rise between road (modern, dirt) and irrigation channel above agricultural field.","GRAB OF 34 SHERDS COLLECTED.Roof of cave is not parallel to the ground. The roof slopes towards ground at roughly 45 degrees. Cave is cut into eastern facing side of outcrop. Shallow depression (possible channel) running NW to SE. Opening is facing roughly SE. Cave looks possibly 2.5m deep. Cave opening was roughly 2m. To ESE of cave, roughly 25m, there is a roughly circular depression, radius roughly 0.5m Walls of depression have been plastered. Beside depression there are 3 large pieces of a possible stone press, about 45cm radius (possibly an olive oil press or millstone). TJI reckons that the plaster has a high lime content and is thus of high quality. The small pebbles in the plaster suggest that resistance and/or friction was desired on the inner surfaces of the mill/press. This is inconsistent with a mill fuelled by water power. (ATB).ATB, 6/7/04, Re-visit with Lina and KWJ.Small basalt boulders surrouding entrance of adit could be debris from clearing the adit. There are many large cobbles of diabase that were brought up from the river - could be for crushing ore.ATB, 8/7/04: Re-visit with MJG and KWJGrab PUs: (see sketch)PU02: N of irrigation channel (more likely to be in situ)PU03: S of irrigation channel, including olive mill (also likely to be fairly well in situ)PU04: Irrigation channel itself and spoil heap created by excavation of irrigation channelRock-cut channel seems to be for the purpose of modern irrigation. Nevertheless, there is a shallower depression, partially filled in with soil and rocks, that runs directly out of the adit (southeasterly).MJG, 8/7/04, on Olive Mill (with sketch):Plastered sunken vat and fragment of millstone above. Plaster: Surface pinkish (from crushed pottery) -- white behind -- but probably because of exposure. Pebble basalt inclusions up to c. 8 mm. Top 20 cm is built. 50-60 cm in height is exposed (of which 35 cm is plaster). Estimated diameter of vat is 2.0 m. Dimensions of millstone: 59 x 56 cm, with 11 cm square socket.",489034.00,190.00,JOS,27/7/2002 00:00:00,Yes,No,None,Yes,No,Karkotis,No,Yes,Psevtadhes,Yes,No,No,3884034.00,Yes,,TP109,Abundant,Yes,No,AJG,27/7/2002 00:00:00,,No,No,Yes,No,28-XII,,TS13,Yes,None,No,GPS,"Cave, possible adit.",ATB,No,Abundant,No,At foot of ridge as it flattens out.,"Spiny burnet, wild oats, thistles, hawthorns, fennel.",No,Katydhata,70.00
On south facing side of Alestos (Back road between Alestos and Ayios Yioryios),,None,No,No,No,No,No,None,Good,The entrance of the adit is covered by capers and spinet burnet. The adit is to the East of a gully on the south facing side of Alestos. The adit is cut into a basalt outcrop. There is a lot of bare bedrock in the close vicinity.,"Visibility 90% for spoil and inside. 0% outsideProper adit with clearly cut shaft. 18.5m known depth from the entrance down the shaft. From the movement of rocks it sounds much deeper. Shaft slopes gently for 8.3m before steeply sloping for at least 10.3m. Shaft width varies from 1.10m to 0.67m. Height of shaft is 1.25m. Height is 1.20m at the start. Water at the bottom of the shaft, known from dropping rocks down. Inside the first 2m the area is bigger, 2.8m wide and up to 1.55m high. The entrance is 1.3m wide and 1m high. However, the entrance may be taller, as spoil is covering a lot of the floor. There is a cut in front of the entrance on the hillside to allow horizontal access. 10-15m to the East of the entrance there is a bay of bedrock. The adit is below a very steep knoll of bedrock which is immediately West of the modern mining spoil at the top of Alestos. There are several tons of spoil, forming a horizontal platform in front  of the entrance. The spoil extends down the hillside. Adit entrance on the outside is 1.9m wide. The first 8.3m of the shaft slopes at an angle of 16 degrees.",502029.00,572.00,ASM,28/7/2002 00:00:00,Yes,No,None,Yes,No,Xyliatos,No,No,Kokkinoploura tou Alestou,Yes,No,No,3876466.00,No,,TP112,None,No,No,AJG,28/7/2002 00:00:00,,No,No,No,No,29-XXVI,,TS05,Yes,None,No,GPS,Proper adit with clearly cut shaft,AGR,No,None,No,"Hilly topography, steep hillslope","Spiny burnet, hawthorn, pine, capers",No,Xyliatos,90.00
Back road from Alestos/Ayios Georgios,,None,No,No,No,No,No,None,Poor,In a fallow field full of wild grasses with some ploughed fields to the N and S.From IP0249 502060E 3876250N,"N side running ESE-WNW is 13.85m. E wall running almost NS is 19.50mFrom E wall it provides a flat platform for about 3m and then the ground begins to rise to the W on a low gradient.N wall seems to be constructed of a mixture of bedrock and angular basalt blocks and is about 25cm high. The East wall is about 1m high. Fairly loose dry-stack construction with angular basalt blocks - quite loose and crude. There are two more piles of rubble to the N of the E wall. One looks like it connects to another N-S wall. The pile to the far North (about 4m to north of last one) is about 3x2m. Both piles may be due to field clearance.In the tilled field to the N of the wall there is about 80% visibility, pottery is abundant, some tile, some chipped stone.",501886.00,514.00,ASM,28/7/2002 00:00:00,No,No,None,Yes,No,Xyliatos,No,No,Litharkies,No,No,No,3876098.00,Yes,,TP113,Some,No,No,ASM,28/7/2002 00:00:00,,No,No,No,No,29-XXVI,,TS05,Yes,None,No,GPS,L-Shaped wall,AGR,No,Some,No,Low gradient hillslope at the bottom of S facing slope of Alestos,"Almonds, hawthorn, spiny burnet, centurion thistle, wild grains",No,Xyliatos,5.00
